Date,Open,High,Low,Close,Adj Close,Volume
2024-07-05,9.610000,9.680000,9.600000,9.640000,9.640000,8900
2024-07-08,9.780000,9.980000,9.710000,9.710000,9.710000,7600
2024-07-09,9.930000,9.960000,9.929000,9.930000,9.930000,8100
2024-07-10,9.990000,9.990000,9.950000,9.990000,9.990000,9700
2024-07-11,10.310000,10.310000,10.220000,10.240000,10.240000,5600
2024-07-12,10.550000,10.550000,10.290000,10.330000,10.330000,10300
2024-07-15,10.300000,10.404000,10.300000,10.325000,10.325000,4800
2024-07-16,10.390000,10.440000,10.370000,10.440000,10.440000,75300
2024-07-17,10.350000,10.350000,10.200000,10.323000,10.323000,348200
2024-07-18,10.222000,10.222000,10.080000,10.140000,10.140000,9400
2024-07-19,9.980000,9.990000,9.950000,9.958000,9.958000,13800
2024-07-22,9.700000,9.932000,9.700000,9.920000,9.920000,9000
2024-07-23,9.902000,9.960000,9.902000,9.930000,9.930000,4800
2024-07-24,10.010000,10.020000,9.840000,9.860000,9.860000,113900
2024-07-25,9.600000,9.850000,9.590000,9.620000,9.620000,46400
2024-07-26,9.620000,9.690000,9.620000,9.690000,9.690000,11300
2024-07-29,9.500000,9.800000,9.500000,9.700000,9.700000,4100
2024-07-30,10.200000,10.200000,10.150000,10.173000,10.173000,2600
2024-07-31,10.240000,10.560000,10.240000,10.539000,10.539000,4500
2024-08-01,9.950000,10.022000,9.860000,9.905000,9.905000,8300
2024-08-02,9.580000,9.580000,9.390000,9.450000,9.450000,10500
2024-08-05,8.850000,8.850000,8.330000,8.460000,8.460000,17100
2024-08-06,9.320000,9.530000,9.320000,9.511000,9.511000,30100
2024-08-07,9.918000,10.100000,9.500000,9.500000,9.500000,46700
2024-08-08,9.570000,9.650000,9.550000,9.640000,9.640000,18900
2024-08-09,9.510000,9.890000,9.510000,9.890000,9.890000,2800
2024-08-12,9.900000,9.950000,9.820000,9.940000,9.940000,2700
2024-08-13,10.020000,10.080000,9.970000,10.080000,10.080000,14700
2024-08-14,10.020000,10.060000,10.000000,10.020000,10.020000,4500
2024-08-15,10.100000,10.222000,10.100000,10.160000,10.160000,10500
2024-08-16,10.172000,10.240000,10.130000,10.240000,10.240000,13200
2024-08-19,10.640000,10.680000,10.510000,10.660000,10.660000,12600
2024-08-20,10.590000,10.630000,10.580000,10.590000,10.590000,11400
2024-08-21,10.800000,10.880000,10.780000,10.870000,10.870000,3700
2024-08-22,10.920000,10.920000,10.805000,10.840000,10.840000,6700
2024-08-23,10.640000,10.800000,10.470000,10.590000,10.590000,8100
2024-08-26,10.570000,10.645000,10.500000,10.550000,10.550000,11900
